2024-12-31 at 19:23:51 | INFO | Бот успешно запущен.
2025-01-01 at 02:10:40 | ERROR | Бот остановлен!
2025-01-04 at 00:38:21 | INFO | Бот успешно запущен.
2025-01-04 at 00:38:26 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 752103733}
2025-01-04 at 00:38:26 | INFO | Запись не найдена по фильтрам: {'telegram_id': 752103733}
2025-01-04 at 00:38:26 | INFO | Добавление записи User с параметрами: {'telegram_id': 752103733, 'username': 'EmpIreR7', 'first_name': 'EmpIreR7', 'last_name': None}
2025-01-04 at 00:38:26 | INFO | Запись User успешно добавлена.
2025-01-04 at 00:38:34 | INFO | Найдено 0 записей.
2025-01-04 at 00:40:12 | ERROR | Бот остановлен!
2025-01-04 at 00:40:16 | INFO | Бот успешно запущен.
2025-01-04 at 00:41:08 | INFO | Найдено 0 записей.
2025-01-04 at 00:43:21 | INFO | Найдено 0 записей.
2025-01-04 at 00:43:42 | INFO | Найдено 0 записей.
2025-01-04 at 00:44:37 | INFO | Найдено 0 записей.
2025-01-04 at 00:44:49 | INFO | Подсчет количества записей Product по фильтру: {}
2025-01-04 at 00:44:49 | INFO | Найдено 0 записей.
2025-01-04 at 00:45:00 | INFO | Найдено 0 записей.
2025-01-04 at 00:45:52 | INFO | Найдено 0 записей.
2025-01-04 at 00:45:54 | ERROR | Бот остановлен!
2025-01-04 at 00:45:58 | INFO | Бот успешно запущен.
2025-01-04 at 00:46:06 | INFO | Найдено 0 записей.
2025-01-04 at 00:46:15 | INFO | Подсчет количества записей Product по фильтру: {}
2025-01-04 at 00:46:15 | INFO | Найдено 0 записей.
2025-01-04 at 00:46:27 | INFO | Найдено 0 записей.
2025-01-04 at 01:24:00 | INFO | Бот успешно запущен.
2025-01-04 at 01:24:03 | ERROR | Бот остановлен!
2025-01-04 at 01:36:56 | INFO | Бот успешно запущен.
2025-01-04 at 01:37:09 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 752103733}
2025-01-04 at 01:37:09 | ERROR | Ошибка при поиске записи по фильтрам {'telegram_id': 752103733}: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-01-04 at 01:37:35 | INFO | Бот успешно запущен.
2025-01-04 at 01:37:37 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 752103733}
2025-01-04 at 01:37:37 | ERROR | Ошибка при поиске записи по фильтрам {'telegram_id': 752103733}: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-01-04 at 01:38:23 | ERROR | Бот остановлен!
2025-01-04 at 01:39:58 | INFO | Бот успешно запущен.
2025-01-04 at 01:40:05 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 752103733}
2025-01-04 at 01:40:05 | INFO | Запись найдена по фильтрам: {'telegram_id': 752103733}
2025-01-04 at 01:40:12 | INFO | Подсчет количества записей Product по фильтру: {}
2025-01-04 at 01:40:12 | INFO | Найдено 8 записей.
2025-01-04 at 01:40:18 | INFO | Найдено 6 записей.
